bw,bw,bw,bw,bw,bw,bw,bw,bw,bw,bw,bw,bw,bw
bw,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bw
bw,bt,bsl,bt,bt,bsl,bt,bt,bsr,bt,bt,bsr,bt,bw
bw,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bw
bw,bt,bsl,bt,bt,bsl,bt,bt,bsr,bt,bt,bsr,bt,bw
bw,bt,bt,bt,bt,bt,bsand,bsand,bt,bt,bt,bt,bt,bw
bw,bt,bsl,bt,bsand,bsl,bsand,bsand,bsr,bsand,bt,bsr,bt,bw
bw,bt,bt,bt,bsand,bsand,bsand,bsand,bsand,bsand,bt,bt,bt,bw
bw,bw,bw,bw,bw,bw,bw,bw,bw,bw,bw,bw,bw,bw
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
