bb,bb,bb,bb,bb,bb,bb,rtb,bb,bb,bb,bb,bb,bb,bb,bb
bb,bb,bb,bb,bb,bb,bb,0,0,bb,bb,bb,bb,bb,bb,bb
bb,bb,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bb,bb
bb,bb,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bb,bb
bb,bb,bt,bt,bw,bt,bt,bt,bt,bt,bt,bw,bt,bt,bb,bb
rtb,0,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bb,bb
bb,bb,bt,bt,bw,bt,bt,bt,bt,bt,bt,bw,bt,bt,bb,bb
bb,bb,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bb,bb
bb,bb,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bt,bb,bb
bb,bb,bb,bb,bb,bb,bb,bb,bb,bb,bb,bb,bb,bb,bb,bb
bb,bb,bb,bb,bb,bb,bb,bb,bb,bb,bb,bb,bb,bb,bb,bb
